,now,hex,type,r,t,alt_baro,gs,true_heading,squawk,lat,lon,nic,rc,seen_pos,version,nac_p,nac_v,sil,sil_type,sda,alert,spi,mlat,tisb,messages,seen,rssi,flight,emergency,category,track,baro_rate,alt_geom,nav_qnh,nav_altitude_mcp,nav_heading,nic_baro,gva,nav_modes,nav_altitude_fms
32,1669853789.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,303.75,2162,38.853928,-77.04076,8,186,4.737,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988277,1.0,-10.7,AAL2695 ,none,A3,,,,,,,,,,
33,1669853819.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.6000000000000001,306.56,2162,38.853871,-77.040649,8,186,0.225,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988318,0.2,-6.6,AAL2695 ,none,A3,,,,,,,,,,
34,1669853849.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.8,312.19,2162,38.853825,-77.040536,8,186,0.93,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988381,0.0,-6.2,AAL2695 ,none,A3,,,,,,,,,,
35,1669853879.492,ad6ff2,adsb_icao,N965NN,B738,ground,1.4,303.75,2162,38.853685,-77.040375,8,186,0.421,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988452,0.0,-5.5,AAL2695 ,none,A3,,,,,,,,,,
36,1669853909.492,ad6ff2,adsb_icao,N965NN,B738,ground,1.1,253.12,2162,38.853573,-77.040193,8,186,0.269,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988525,0.30000000000000004,-6.8,AAL2695 ,none,A3,,,,,,,,,,
37,1669853939.492,ad6ff2,adsb_icao,N965NN,B738,ground,1.1,202.5,2162,38.853607,-77.040014,8,186,0.514,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988596,0.5,-7.6,AAL2695 ,none,A3,,,,,,,,,,
38,1669853969.492,ad6ff2,adsb_icao,N965NN,B738,ground,1.1,168.75,2162,38.853733,-77.039939,8,186,1.35,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988656,0.0,-5.2,AAL2695 ,none,A3,,,,,,,,,,
39,1669853999.492,a23a02,adsb_icao,N24211,B738,ground,3.2,261.56,,38.851066,-77.040359,8,186,0.354,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197454,0.4,-21.4,UAL1598 ,,A3,,,,,,,,,,
40,1669853999.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,165.94,2162,38.853848,-77.039969,8,186,0.333,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988716,0.30000000000000004,-6.4,AAL2695 ,none,A3,,,,,,,,,,
41,1669854030.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,165.94,2162,38.853848,-77.039969,8,186,4.965,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988760,1.1,-7.9,AAL2695 ,none,A3,,,,,,,,,,
