iri,source,version,citation,classification,name,description,aliases,superclassIris,defaultIfc,defaultSymbolIdCode
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/BomberCapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Bomber Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/BomberFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Bomber Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/BomberRole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Bomber Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/Building",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,Building,,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FixedStructure",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/Campaign",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,Campaign,,,"http://www.ontologyrepository.com/CommonCoreOntologies/ActOfMilitaryForce",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CandidateTargetList",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Candidate Target List","Annex term- recommend move to targeting module once completed",,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/TargetList",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/Capability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,Capability,,,"http://purl.obolibrary.org/obo/BFO_0000017",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CargoTransportCapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Cargo Transport Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/SustainmentCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CargoTransportFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Cargo Transport Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/SustainmentFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CargoTransportRole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Cargo Transport Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/SustainmentRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CategoryCode",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Category Code",,,"http://www.ontologyrepository.com/CommonCoreOntologies/CodeIdentifier",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CivilianInstallation",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Civilian Installation",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/Installation",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CollectionOfEquipmentItems",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Collection of Equipment Items","Often times analysts cannot keep track of specific equipment items assigned to a unit on an individual basis.  For example, the unit has 12 aircraft but the aircraft cannot be effectively tracked by tail numbers which may not even be known. Instances of this object class will be used to facilitate tracking the equipment items for the unit as an aggregate.  Once individual items can be tracked, they can be instantiated as a part of the aggregate.",,"http://purl.obolibrary.org/obo/BFO_0000027",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CombatEngineerCapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Combat Engineer Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CombatEngineerFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Combat Engineer Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CombatEngineerRole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Combat Engineer Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/FiresRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CombinedFacility",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Combined Facility (DICO)","The axiom for this class is a sub-class axiom which implies that all explicitly created instances of this entity have these characteristics, but the existence of these characteristics do no automatically infer membership in this class.,
",,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/Facility",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CommandAndControlGraphicSymbol",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Command and Control Graphic Symbol",,,"http://www.ontologyrepository.com/CommonCoreOntologies/RepresentationalInformationContentEntity",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CommandCapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Command Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/DefenseRelatedCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CommandFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Command Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/DefenseRelatedFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CommandRole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Command Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/DefenseRelatedRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CommunicationsCapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Communications Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ControlCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CommunicationsFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Communications Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ControlFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CommunicationsInfrastructureItem",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Communications Infrastructure Item",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/InfrastructureItem",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CommunicationsRole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Communications Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ControlRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ComputerProgram",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Computer Program (DICO)","While CCO identifies Computer Program as an Artifact, we place the term as a subclass of Directive ICE as it is more commonly understood to be the instructions given to a computer to execute operations independent of the medium upon which the program is encoded.  This interpretation would make it similar to an operational plan given to units regardless the medium through which it is conveyed (digital file, document, verbal instruction)",,"http://www.ontologyrepository.com/CommonCoreOntologies/DirectiveInformationContentEntity",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ComputingDevice",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Computing Device",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ElectronicDevice",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ControlCapability",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Control Capability",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/DefenseRelatedCapability",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ControlFunction",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Control Function",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/DefenseRelatedFunction",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ControlRole",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Control Role",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/DefenseRelatedRole",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ControllingDevice",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Controlling Device",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/ElectronicDevice",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CounterairExercise",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Counterair Exercise",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryExercise",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CounterairOperation",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Counterair Operation",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryOperation",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CounterdrugExercise",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Counterdrug Exercise",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryExercise",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CounterdrugOperation",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Counterdrug Operation",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryOperation",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CounterinsurgencyExercise",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Counterinsurgency Exercise",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryExercise",,
